runSeed,testYear,wDE,wCOBYLA
383329927,2007,"[0.4394203784283053, 0.220261111873799, 0.3373729886466191, 0.002945521051276615]","[0.5536048170755546, 0.1693500203454829, 0.22856195136462162, 0.04848321121434087]"
383329927,2008,"[0.6133760724291992, 0.298645290538851, 0.0873662453663693, 0.000612391665580498]","[0.479627558674744, 0.2776216002842545, 0.12506804159111334, 0.11768279944988824]"
383329927,2009,"[0.49869917121287066, 0.2718244655760573, 0.1993265446912018, 0.030149818519870253]","[0.337534238005335, 0.20113856888932638, 0.3387138228486511, 0.1226133702566875]"
383329927,2010,"[0.574488020403682, 0.033628404419503044, 0.3080910678237139, 0.08379250735310106]","[0.4847921198196635, 0.16085439257436135, 0.12647865778329312, 0.22787482982268178]"
383329927,2011,"[0.5699032456702071, 0.24057250255940504, 0.1894182452351567, 0.00010600653523116785]","[0.47571990240802886, 0.13367067310251646, 0.2105562614058432, 0.18005316308361158]"
383329927,2012,"[0.5704737382270161, 0.24164410979475168, 0.18788190669087018, 2.452873621630493e-07]","[0.4113674861598244, 0.136543189302122, 0.23603195866223253, 0.21605736587582106]"
383329927,2013,"[0.5282902546237204, 0.3079500018681738, 0.14778877324464754, 0.015970970263458232]","[0.4787774264771371, 0.1508026401737623, 0.1571997965835194, 0.2132201367655812]"
383329927,2014,"[0.5077060317151136, 0.42331235532675726, 0.05960543077720897, 0.009376182180920121]","[0.3166512656609271, 0.33832894850835055, 0.17965001729507643, 0.16536976853564586]"
383329927,2015,"[0.31232965389681333, 0.24652615058834493, 0.317881120349384, 0.12326307516545777]","[0.2857784891374371, 0.11784384804084606, 0.4426106454357614, 0.15376701738595533]"
383329927,2016,"[0.41829612637847224, 0.25833548575486076, 0.25608674006729587, 0.06728164779937111]","[0.3120155186771125, 0.09127405770038692, 0.41894758665359627, 0.17776283696890413]"
383329927,2017,"[0.31163474962617516, 0.36711740326729037, 0.2826611783084826, 0.03858666879805187]","[0.2360916123969067, 0.25513043573210015, 0.2739574057491213, 0.2348205461218718]"
383329927,2018,"[0.3258636425928253, 0.374699336315658, 0.2668055542123173, 0.032631466879199454]","[0.09829894768859501, 0.34415940810347023, 0.42372380227223544, 0.13381784193569937]"
383329927,2019,"[0.32437196933772366, 0.36541438251535263, 0.2695173179391908, 0.04069633020773303]","[0.22147428909931835, 0.3634957032173436, 0.36150567357400676, 0.05352433410933132]"
383329927,2020,"[0.3052747065067743, 0.421333516006346, 0.24980524188266295, 0.023586535604216564]","[0.12533852214936364, 0.47197251453328243, 0.26092229286590907, 0.14176667045144498]"
383329927,2021,"[0.3342202638064897, 0.3606269193185813, 0.27139865787020695, 0.033754159004722124]","[0.2303636280345388, 0.24937039497702718, 0.2753713396064928, 0.24489463738194114]"
383329927,2022,"[0.2940802924335069, 0.4628121397301765, 0.21832693730290023, 0.024780630533416382]","[0.1517517767342077, 0.5069719323442587, 0.2316556909710039, 0.10962059995052968]"
383329927,2023,"[0.3583488311849291, 0.5155911843500363, 0.09175494039982036, 0.03430504406521423]","[0.2520947220247708, 0.24639220030229186, 0.23603623227652207, 0.2654768453964153]"
3324115916,2007,"[0.4326576908196691, 0.2221872435969625, 0.34499766815642297, 0.000157397426945313]","[0.5536048170755546, 0.1693500203454829, 0.22856195136462162, 0.04848321121434087]"
3324115916,2008,"[0.6134873184238684, 0.2986283936302593, 0.08732878738578607, 0.0005555005600862416]","[0.479627558674744, 0.2776216002842545, 0.12506804159111334, 0.11768279944988824]"
3324115916,2009,"[0.5016498658154082, 0.27021296710791654, 0.19848524602424908, 0.029651921052426145]","[0.337534238005335, 0.20113856888932638, 0.3387138228486511, 0.1226133702566875]"
3324115916,2010,"[0.5715854936668041, 0.029503822419177143, 0.32984076037473975, 0.06906992353927889]","[0.4847921198196635, 0.16085439257436135, 0.12647865778329312, 0.22787482982268178]"
3324115916,2011,"[0.5710133777372958, 0.24174493931869315, 0.18723898169372308, 2.701250287910614e-06]","[0.47571990240802886, 0.13367067310251646, 0.2105562614058432, 0.18005316308361158]"
3324115916,2012,"[0.5699061957938325, 0.2404129323751066, 0.18946497749958685, 0.00021589433147407543]","[0.4113674861598244, 0.136543189302122, 0.23603195866223253, 0.21605736587582106]"
3324115916,2013,"[0.5261692149332522, 0.2976413016978187, 0.15172558677504652, 0.024463896593882616]","[0.4787774264771371, 0.1508026401737623, 0.1571997965835194, 0.2132201367655812]"
3324115916,2014,"[0.45782296630357483, 0.47377677122456663, 0.06829135666948202, 0.00010890580237653525]","[0.3166512656609271, 0.33832894850835055, 0.17965001729507643, 0.16536976853564586]"
3324115916,2015,"[0.31757552871496786, 0.23650437318793804, 0.3304961125553232, 0.11542398554177088]","[0.2857784891374371, 0.11784384804084606, 0.4426106454357614, 0.15376701738595533]"
